ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1991563521,2026-02-06T00:02:40.162000,2026-02-06T00:03:43.650000,sell,0.03,0.04,XAUUSD,4698.841,4690.487,,,,0,25.06,,,user
1991515722,2026-02-05T23:29:31.598000,2026-02-05T23:42:38.635000,sell,0.01,0.02,XAUUSD,4753.402,4751.936,4751.936,,-0.22,0,1.46,,,sl
1991515722,2026-02-05T23:29:31.598000,2026-02-05T23:38:37.472000,sell,0.01,0.02,XAUUSD,4753.402,4733.845,4751.936,,,0,19.55,,,user
1991294924,2026-02-05T18:48:04.231000,2026-02-05T18:48:55.887000,sell,0.01,0.01,BTCUSD,65321.69,65340.47,,,-0.16,0,-0.18,,,user
1991294155,2026-02-05T18:46:55.938000,2026-02-05T18:47:04.719000,sell,0.13,0.13,BTCUSD,65463.88,65439.35,,,-2.08,0,3.18,,,user
1991293112,2026-02-05T18:45:46.318000,2026-02-05T18:46:22.515000,buy,0.13,0.13,BTCUSD,65667.29,65720.16,,,-2.08,0,6.87,,,user
1991289578,2026-02-05T18:41:47.975000,2026-02-05T18:44:08.136000,buy,0.07,0.07,BTCUSD,65750.17,65564.96,65575.26,65960.4,-1.12,0,-12.96,,,sl
1991286088,2026-02-05T18:38:48.030000,2026-02-05T18:40:24.419000,sell,0.07,0.07,BTCUSD,65437.36,65713.88,65702.13,,-1.12,0,-19.35,,,sl
1991280640,2026-02-05T18:33:09.720000,2026-02-05T18:35:46.269000,sell,0.02,0.07,BTCUSD,65409.61,65617.63,,,-1.12,0,-4.16,,,user
1991280640,2026-02-05T18:33:09.720000,2026-02-05T18:35:31.025000,sell,0.05,0.07,BTCUSD,65409.61,65597.72,,,,0,-9.41,,,user
1991274478,2026-02-05T18:28:21.248000,2026-02-05T18:34:29.540000,sell,0.01,0.07,BTCUSD,65451.89,65417.14,65908.07,,-1.12,0,0.35,,,user
1991274478,2026-02-05T18:28:21.248000,2026-02-05T18:28:52.234000,sell,0.06,0.07,BTCUSD,65451.89,65513.07,65908.07,,,0,-3.67,,,user
1990136674,2026-02-05T10:21:57.754000,2026-02-05T10:43:37.920000,sell,0.01,0.01,XAUUSD,4866.282,4878.013,4878.013,4831.507,-0.11,0,-11.73,,,sl
1988439050,2026-02-04T16:45:54.273000,2026-02-04T16:47:07.105000,sell,0.01,0.01,XAUUSD,4897.243,4884.053000000001,4906.014,,-0.11,0,13.19,,,user
1988424949,2026-02-04T16:39:42.234000,2026-02-04T16:40:14.077000,sell,0.01,0.01,XAUUSD,4917.373,4909.222000000001,4928.777,4897.124,-0.11,0,8.15,,,user
1988423004,2026-02-04T16:39:03.074000,2026-02-04T16:39:05.941000,sell,0.01,0.01,XAUUSD,4909.501,4909.464,4925.444,4895.198,-0.11,0,0.04,,,user
1988371515,2026-02-04T16:18:35.113000,2026-02-04T16:19:04.704000,sell,0.01,0.01,XAUUSD,4922.042,4924.683,4930.848,4911.498,-0.11,0,-2.64,,,user
1988365645,2026-02-04T16:16:18.490000,2026-02-04T16:17:02.583000,sell,0.01,0.01,XAUUSD,4922.615,4919.027,4933.622,,-0.11,0,3.59,,,user
1988339166,2026-02-04T16:06:21.139000,2026-02-04T16:11:50.609000,buy,0.01,0.01,XAUUSD,4924.176,4927.512,4909.163,4944.526,-0.11,0,3.33,,,user
1988306670,2026-02-04T15:57:05.848000,2026-02-04T15:57:19.557000,sell,0.01,0.01,XAUUSD,4924.152,4922.78,4947.597,,-0.11,0,1.37,,,user
1988256085,2026-02-04T15:41:40.859000,2026-02-04T15:42:13.678000,buy,0.01,0.01,XAUUSD,4927.208,4928.222,4905.858,4942.352,-0.11,0,1.01,,,user
1988096927,2026-02-04T15:02:03.339000,2026-02-04T15:02:34.071000,buy,0.01,0.01,XAUUSD,4978.791,4984.098,4958.312,,-0.11,0,5.31,,,user
1988090209,2026-02-04T15:00:26.625000,2026-02-04T15:00:47.976000,buy,0.01,0.01,XAUUSD,4992.582,4979.709,,,-0.11,0,-12.87,,,user
1988074066,2026-02-04T14:55:51.532000,2026-02-04T14:56:15.127000,buy,0.01,0.01,XAUUSD,5009.002,5000.986,,,-0.11,0,-8.01,,,user
1988041964,2026-02-04T14:46:19.103000,2026-02-04T14:47:06.216000,buy,0.01,0.01,XAUUSD,4976.458,4988.303,4971.094,4992.204,-0.11,0,11.84,,,user
1987936512,2026-02-04T14:19:19.451000,2026-02-04T14:20:54.845000,buy,0.01,0.01,XAUUSD,5042.907,5043.455,5036.846,5061.826,-0.11,0,0.55,,,user
1987927562,2026-02-04T14:16:40.880000,2026-02-04T14:17:58.264000,buy,0.01,0.01,XAUUSD,5045.517,5039.546,5039.546,5060.659,-0.11,0,-5.97,,,sl
1987895110,2026-02-04T14:06:07.017000,2026-02-04T14:08:42.497000,buy,0.01,0.01,XAUUSD,5052.338,5042.328,,5067.217,-0.11,0,-10.01,,,user
1987837166,2026-02-04T13:45:43.319000,2026-02-04T13:49:12.341000,sell,0.01,0.01,XAUUSD,5038.627,5044.371,5044.371,5025.001,-0.11,0,-5.74,,,sl
1987758175,2026-02-04T13:16:43.120000,2026-02-04T13:23:05.332000,buy,0.01,0.01,XAUUSD,5037.961,5045.926,5023.46,5075.202,-0.11,0,7.97,,,user
1987326909,2026-02-04T09:34:13.598000,2026-02-04T11:08:35.639000,buy,0.01,0.02,XAUUSD,5054.719,5048.08,5039.079,5079.35,-0.22,0,-6.64,,,user
1987475328,2026-02-04T10:51:00.169000,2026-02-04T10:53:01.759000,buy,0.01,0.01,XAUUSD,5054.573,5051.9580000000005,5047.699,5064.25,-0.11,0,-2.61,,,user
1987453612,2026-02-04T10:37:06.364000,2026-02-04T10:43:05.939000,buy,0.01,0.01,XAUUSD,5049.242,5059.765,5041.351,5068.769,-0.11,0,10.53,,,user
1987432799,2026-02-04T10:26:44.238000,2026-02-04T10:28:12.482000,buy,0.01,0.01,XAUUSD,5045.58,5042.538,5042.538,,-0.11,0,-3.04,,,sl
1987425968,2026-02-04T10:24:04.959000,2026-02-04T10:24:54.654000,buy,0.01,0.01,XAUUSD,5048.338,5042.703,5042.703,,-0.11,0,-5.64,,,sl
1987402473,2026-02-04T10:10:25.888000,2026-02-04T10:17:55.565000,buy,0.01,0.01,XAUUSD,5055.489,5049.001,5049.729,5070.892,-0.11,0,-6.49,,,sl
1987390459,2026-02-04T10:03:58.113000,2026-02-04T10:06:04.020000,buy,0.01,0.01,XAUUSD,5052.65,5052.642,,,-0.11,0,-0.01,,,user
1987366993,2026-02-04T09:49:29.242000,2026-02-04T09:51:12.798000,buy,0.01,0.01,XAUUSD,5052.945,5063.298,5043.074,,-0.11,0,10.35,,,user
1987326909,2026-02-04T09:34:13.598000,2026-02-04T09:42:33.242000,buy,0.01,0.02,XAUUSD,5054.719,5061.027,5039.079,5079.35,,0,6.31,,,user
1987296635,2026-02-04T09:24:11.607000,2026-02-04T09:32:39.678000,buy,0.01,0.01,XAUUSD,5061.33,5045.256,5047.448,5082.914,-0.11,0,-16.07,,,sl
1987286978,2026-02-04T09:21:26.900000,2026-02-04T09:23:12.006000,buy,0.01,0.01,XAUUSD,5063.411,5055.597,5055.597,5083.237,-0.11,0,-7.81,,,sl
1981557929,2026-02-02T12:24:19.908000,2026-02-02T12:26:17.561000,buy,0.01,0.01,XAUUSD,4785.605,4776.587,,,-0.11,0,-9.02,,,user
1981537067,2026-02-02T12:17:18.615000,2026-02-02T12:17:52.071000,buy,0.01,0.01,XAUUSD,4769.657,4773.278,,4787.42,-0.11,0,3.62,,,user
1981405944,2026-02-02T11:29:09.567000,2026-02-02T11:29:34.041000,buy,0.01,0.01,XAUUSD,4749.929,4758.233,4740.113,4767.757,-0.11,0,8.3,,,user
1981371466,2026-02-02T11:13:24.844000,2026-02-02T11:14:07.758000,buy,0.04,0.04,XAGUSD,82.702,82.788,,,-4,0,17.2,,,user
1981360388,2026-02-02T11:07:38.471000,2026-02-02T11:12:36.099000,buy,0.01,0.01,XAUUSD,4721.862,4724.856,4711.361,4751.543,-0.11,0,3,,,user
1981147502,2026-02-02T09:44:22.815000,2026-02-02T09:45:35.497000,sell,0.01,0.01,XAUUSD,4692.807,4696.162,4702.821,4673.711,-0.11,0,-3.35,-0.87,,so
1981148485,2026-02-02T09:44:53.369000,2026-02-02T09:45:35.495000,sell,0.01,0.01,XAUUSD,4688.45,4696.162,4699.232,4670.122,-0.11,0,-7.71,-0.87,,so
1979026407,2026-02-01T16:26:17.625000,2026-02-01T16:38:46.484000,buy,0.04,0.04,BTCUSD,77527.38,77496.34,,77857.97,-0.64,0,-1.25,,,user
1979002487,2026-02-01T15:50:13.642000,2026-02-01T16:24:41.557000,sell,0.02,0.02,BTCUSD,77339.55,77512.7,78047.78,,-0.32,0,-3.46,,,user
1978999512,2026-02-01T15:44:45.185000,2026-02-01T15:47:23.655000,sell,0.04,0.04,BTCUSD,77087.78,77273.95,,,-0.64,0,-7.45,-0.02,,so
1978998306,2026-02-01T15:41:23.384000,2026-02-01T15:44:35.781000,buy,0.05,0.05,BTCUSD,77119.91,77097.42,,77560.55,-0.8,0,-1.13,,,user
1978997138,2026-02-01T15:40:03.986000,2026-02-01T15:40:34.502000,buy,0.05,0.05,BTCUSD,77223.42,77016.45,,,-0.8,0,-10.35,-1.15,,so
1978992652,2026-02-01T15:38:03.628000,2026-02-01T15:38:30.552000,sell,0.03,0.03,BTCUSD,76895,76975.41,,,-0.48,0,-2.41,-0.16,,so
1978993910,2026-02-01T15:38:23.548000,2026-02-01T15:38:30.550000,sell,0.02,0.02,BTCUSD,76772.73,76975.41,,,-0.32,0,-4.06,-0.16,,so
1978987484,2026-02-01T15:30:21.165000,2026-02-01T15:34:59.748000,sell,0.01,0.01,BTCUSD,76928.34,76992.37,,,-0.16,0,-0.64,,,user
1978988317,2026-02-01T15:31:24.433000,2026-02-01T15:31:45.231000,sell,0.04,0.04,BTCUSD,76864.45,77053.64,77027.27,,-0.64,0,-7.57,,,sl
1978962841,2026-02-01T14:57:52.014000,2026-02-01T15:16:25.452000,sell,0.01,0.05,BTCUSD,78194.34,77603.5,78116.32,,-0.8,0,5.9,,,user
1978962841,2026-02-01T14:57:52.014000,2026-02-01T15:10:20.011000,sell,0.01,0.05,BTCUSD,78194.34,77865.98,78116.32,,,0,3.28,,,user
1978962841,2026-02-01T14:57:52.014000,2026-02-01T15:08:00.677000,sell,0.01,0.05,BTCUSD,78194.34,77861.57,78116.32,,,0,3.32,,,user
1978962841,2026-02-01T14:57:52.014000,2026-02-01T15:04:30.715000,sell,0.02,0.05,BTCUSD,78194.34,77874.01,78116.32,,,0,6.41,,,user
1978960810,2026-02-01T14:52:40.381000,2026-02-01T14:54:30.351000,sell,0.05,0.05,BTCUSD,78263.96,78157.8,78432.83,,-0.8,0,5.31,,,user
1978933007,2026-02-01T14:20:48.879000,2026-02-01T14:50:34.746000,sell,0.02,0.02,BTCUSD,77999.2,78227.67,78224.49,,-0.32,0,-4.57,,,sl
1978903160,2026-02-01T13:08:00.675000,2026-02-01T13:46:36.491000,buy,0.01,0.01,BTCUSD,78503.84,78578.71,,79373.8,-0.16,0,0.75,,,user
1978787032,2026-02-01T07:02:34.053000,2026-02-01T07:05:03.797000,sell,0.02,0.02,BTCUSD,78249.42,78103.46,78508.25,77726.67,-0.32,0,2.92,,,user
1978784753,2026-02-01T06:52:29.467000,2026-02-01T06:56:21.902000,buy,0.02,0.04,BTCUSD,78266.31,78294.47,78193.26,78426.4,-0.64,0,0.56,,,user
1978784753,2026-02-01T06:52:29.467000,2026-02-01T06:55:03.138000,buy,0.02,0.04,BTCUSD,78266.31,78268.47,78193.26,78426.4,,0,0.04,,,user
1978784691,2026-02-01T06:52:17.025000,2026-02-01T06:54:42.941000,buy,0.01,0.01,BTCUSD,78240.19,78282.85,,,-0.16,0,0.43,,,user
1978762116,2026-02-01T05:10:03.594000,2026-02-01T05:36:30.010000,buy,0.01,0.05,BTCUSD,78701.49,78701.44,78713.48,79160.21,-0.8,0,0,,,sl
1978762116,2026-02-01T05:10:03.594000,2026-02-01T05:29:14.451000,buy,0.01,0.05,BTCUSD,78701.49,78865.07,78713.48,79160.21,,0,1.64,,,user
1978762116,2026-02-01T05:10:03.594000,2026-02-01T05:27:39.279000,buy,0.01,0.05,BTCUSD,78701.49,78883.08,78713.48,79160.21,,0,1.82,,,user
1978762116,2026-02-01T05:10:03.594000,2026-02-01T05:25:06.033000,buy,0.02,0.05,BTCUSD,78701.49,78816.91,78713.48,79160.21,,0,2.31,,,user
1978758022,2026-02-01T04:51:15.551000,2026-02-01T05:07:36.591000,buy,0.02,0.02,BTCUSD,78925.25,78697.98,,,-0.32,0,-4.55,-0.05,,so
1978753787,2026-02-01T04:22:49.492000,2026-02-01T05:07:36.590000,buy,0.02,0.02,BTCUSD,78940.76,78697.98,,,-0.32,0,-4.86,-0.05,,so
