type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
sell,0.01,0.05,BTCUSD,78194.34,77865.98,78116.32,,,3.28,user,2026-02-01 20:57:52.014000+06:00,2026-02-01 21:10:20.011000+06:00
sell,0.01,0.05,BTCUSD,78194.34,77603.5,78116.32,,-0.8,5.9,user,2026-02-01 20:57:52.014000+06:00,2026-02-01 21:16:25.452000+06:00
sell,0.04,0.04,BTCUSD,76864.45,77053.64,77027.27,,-0.64,-7.57,sl,2026-02-01 21:31:24.433000+06:00,2026-02-01 21:31:45.231000+06:00
sell,0.01,0.01,BTCUSD,76928.34,76992.37,,,-0.16,-0.64,user,2026-02-01 21:30:21.165000+06:00,2026-02-01 21:34:59.748000+06:00
sell,0.02,0.02,BTCUSD,76772.73,76975.41,,,-0.32,-4.06,so,2026-02-01 21:38:23.548000+06:00,2026-02-01 21:38:30.550000+06:00
sell,0.03,0.03,BTCUSD,76895.0,76975.41,,,-0.48,-2.41,so,2026-02-01 21:38:03.628000+06:00,2026-02-01 21:38:30.552000+06:00
buy,0.05,0.05,BTCUSD,77223.42,77016.45,,,-0.8,-10.35,so,2026-02-01 21:40:03.986000+06:00,2026-02-01 21:40:34.502000+06:00
buy,0.05,0.05,BTCUSD,77119.91,77097.42,,77560.55,-0.8,-1.13,user,2026-02-01 21:41:23.384000+06:00,2026-02-01 21:44:35.781000+06:00
sell,0.04,0.04,BTCUSD,77087.78,77273.95,,,-0.64,-7.45,so,2026-02-01 21:44:45.185000+06:00,2026-02-01 21:47:23.655000+06:00
sell,0.02,0.02,BTCUSD,77339.55,77512.7,78047.78,,-0.32,-3.46,user,2026-02-01 21:50:13.642000+06:00,2026-02-01 22:24:41.557000+06:00
buy,0.04,0.04,BTCUSD,77527.38,77496.34,,77857.97,-0.64,-1.25,user,2026-02-01 22:26:17.625000+06:00,2026-02-01 22:38:46.484000+06:00
sell,0.01,0.01,XAUUSD,4688.45,4696.162,4699.232,4670.122,-0.11,-7.71,so,2026-02-02 15:44:53.369000+06:00,2026-02-02 15:45:35.495000+06:00
sell,0.01,0.01,XAUUSD,4692.807,4696.162,4702.821,4673.711,-0.11,-3.35,so,2026-02-02 15:44:22.815000+06:00,2026-02-02 15:45:35.497000+06:00
buy,0.01,0.01,XAUUSD,4721.862,4724.856,4711.361,4751.543,-0.11,3.0,user,2026-02-02 17:07:38.471000+06:00,2026-02-02 17:12:36.099000+06:00
buy,0.04,0.04,XAGUSD,82.702,82.788,,,-4.0,17.2,user,2026-02-02 17:13:24.844000+06:00,2026-02-02 17:14:07.758000+06:00
buy,0.01,0.01,XAUUSD,4749.929,4758.233,4740.113,4767.757,-0.11,8.3,user,2026-02-02 17:29:09.567000+06:00,2026-02-02 17:29:34.041000+06:00
buy,0.01,0.01,XAUUSD,4769.657,4773.278,,4787.42,-0.11,3.62,user,2026-02-02 18:17:18.615000+06:00,2026-02-02 18:17:52.071000+06:00
buy,0.01,0.01,XAUUSD,4785.605,4776.587,,,-0.11,-9.02,user,2026-02-02 18:24:19.908000+06:00,2026-02-02 18:26:17.561000+06:00
buy,0.01,0.01,XAUUSD,5063.411,5055.597,5055.597,5083.237,-0.11,-7.81,sl,2026-02-04 15:21:26.900000+06:00,2026-02-04 15:23:12.006000+06:00
buy,0.01,0.01,XAUUSD,5061.33,5045.256,5047.448,5082.914,-0.11,-16.07,sl,2026-02-04 15:24:11.607000+06:00,2026-02-04 15:32:39.678000+06:00
buy,0.01,0.02,XAUUSD,5054.719,5061.027,5039.079,5079.35,,6.31,user,2026-02-04 15:34:13.598000+06:00,2026-02-04 15:42:33.242000+06:00
buy,0.01,0.01,XAUUSD,5052.945,5063.298,5043.074,,-0.11,10.35,user,2026-02-04 15:49:29.242000+06:00,2026-02-04 15:51:12.798000+06:00
buy,0.01,0.01,XAUUSD,5052.65,5052.642,,,-0.11,-0.01,user,2026-02-04 16:03:58.113000+06:00,2026-02-04 16:06:04.020000+06:00
buy,0.01,0.01,XAUUSD,5055.489,5049.001,5049.729,5070.892,-0.11,-6.49,sl,2026-02-04 16:10:25.888000+06:00,2026-02-04 16:17:55.565000+06:00
buy,0.01,0.01,XAUUSD,5048.338,5042.703,5042.703,,-0.11,-5.64,sl,2026-02-04 16:24:04.959000+06:00,2026-02-04 16:24:54.654000+06:00
buy,0.01,0.01,XAUUSD,5045.58,5042.538,5042.538,,-0.11,-3.04,sl,2026-02-04 16:26:44.238000+06:00,2026-02-04 16:28:12.482000+06:00
buy,0.01,0.01,XAUUSD,5049.242,5059.765,5041.351,5068.769,-0.11,10.53,user,2026-02-04 16:37:06.364000+06:00,2026-02-04 16:43:05.939000+06:00
buy,0.01,0.01,XAUUSD,5054.573,5051.9580000000005,5047.699,5064.25,-0.11,-2.61,user,2026-02-04 16:51:00.169000+06:00,2026-02-04 16:53:01.759000+06:00
buy,0.01,0.02,XAUUSD,5054.719,5048.08,5039.079,5079.35,-0.22,-6.64,user,2026-02-04 15:34:13.598000+06:00,2026-02-04 17:08:35.639000+06:00
buy,0.01,0.01,XAUUSD,5037.961,5045.926,5023.46,5075.202,-0.11,7.97,user,2026-02-04 19:16:43.120000+06:00,2026-02-04 19:23:05.332000+06:00
sell,0.01,0.01,XAUUSD,5038.627,5044.371,5044.371,5025.001,-0.11,-5.74,sl,2026-02-04 19:45:43.319000+06:00,2026-02-04 19:49:12.341000+06:00
buy,0.01,0.01,XAUUSD,5052.338,5042.328,,5067.217,-0.11,-10.01,user,2026-02-04 20:06:07.017000+06:00,2026-02-04 20:08:42.497000+06:00
buy,0.01,0.01,XAUUSD,5045.517,5039.546,5039.546,5060.659,-0.11,-5.97,sl,2026-02-04 20:16:40.880000+06:00,2026-02-04 20:17:58.264000+06:00
buy,0.01,0.01,XAUUSD,5042.907,5043.455,5036.846,5061.826,-0.11,0.55,user,2026-02-04 20:19:19.451000+06:00,2026-02-04 20:20:54.845000+06:00
buy,0.01,0.01,XAUUSD,4976.458,4988.303,4971.094,4992.204,-0.11,11.84,user,2026-02-04 20:46:19.103000+06:00,2026-02-04 20:47:06.216000+06:00
