ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1986795937,2026-02-04T05:24:14.871000,2026-02-04T11:07:07.011000,buy,0.01,0.01,XAUUSD,5081.166,5048.365,,,-0.11,0,-32.8,,,user
1987042949,2026-02-04T07:20:15.737000,2026-02-04T07:21:47.641000,buy,0.01,0.01,XAUUSD,5069.202,5073.189,5063.206,5076.423,-0.11,0,3.99,,,user
1986939361,2026-02-04T06:24:57.465000,2026-02-04T06:26:01.355000,buy,0.01,0.01,XAUUSD,5058.455,5058.441,5049.321,,-0.11,0,-0.02,,,user
1986930376,2026-02-04T06:20:54.185000,2026-02-04T06:22:22.173000,buy,0.01,0.01,XAUUSD,5064.682,5056.322,5051.859,,-0.11,0,-8.36,,,user
1986213550,2026-02-03T23:13:00.780000,2026-02-03T23:13:38.006000,buy,0.01,0.01,XAUUSD,4933.055,4929.081,4929.081,4944.449,-0.11,0,-3.98,,,sl
1986200746,2026-02-03T23:02:32.273000,2026-02-03T23:04:12.661000,buy,0.01,0.01,XAUUSD,4970.362,4957.795,4957.795,,-0.11,0,-12.56,,,sl
1986159667,2026-02-03T21:33:26.844000,2026-02-03T21:40:15.061000,buy,0.01,0.01,XAUUSD,4954.007,4941.985,4941.985,,-0.11,0,-12.02,,,sl
1986154584,2026-02-03T21:21:17.041000,2026-02-03T21:31:05.993000,buy,0.01,0.01,XAUUSD,4951.001,4955.832,4938.076,,-0.11,0,4.83,,,user
1986142551,2026-02-03T21:04:19.720000,2026-02-03T21:10:33.255000,buy,0.01,0.01,XAUUSD,4952.488,4952.532,4939.684,,-0.11,0,0.04,,,user
1986137411,2026-02-03T20:56:45.530000,2026-02-03T20:57:39.041000,buy,0.01,0.01,XAUUSD,4943.49,4945.298,4938.957,,-0.11,0,1.81,,,user
1986119056,2026-02-03T20:36:02.654000,2026-02-03T20:40:04.757000,buy,0.01,0.01,XAUUSD,4955.379,4952.572,4944.482,,-0.11,0,-2.81,,,user
