type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
sell,0.01,0.01,XAGUSD,78.186,78.56200000000001,,77.372,-1.0,-18.8,user,2026-02-02 15:22:51.522000+06:00,2026-02-02 15:24:38.972000+06:00
sell,0.01,0.01,XAGUSD,77.528,78.56200000000001,,76.778,-1.0,-51.7,user,2026-02-02 15:20:48.792000+06:00,2026-02-02 15:24:39.045000+06:00
buy,0.01,0.01,XAGUSD,78.467,78.899,78.537,79.085,-1.0,21.6,user,2026-02-02 15:25:12.769000+06:00,2026-02-02 15:26:29.385000+06:00
buy,0.01,0.01,XAGUSD,79.145,79.428,78.798,79.81,-1.0,14.15,user,2026-02-02 15:30:24.092000+06:00,2026-02-02 15:30:50.820000+06:00
buy,0.01,0.01,XAGUSD,79.518,79.288,78.912,,-1.0,-11.5,user,2026-02-02 15:35:16.112000+06:00,2026-02-02 15:35:33.369000+06:00
buy,0.02,0.03,XAUUSD,4692.008,4697.576,4683.654,4714.843,,11.13,user,2026-02-02 15:36:17.730000+06:00,2026-02-02 15:37:05.997000+06:00
buy,0.01,0.03,XAUUSD,4692.008,4699.551,4683.654,4714.843,-0.33,7.54,user,2026-02-02 15:36:17.730000+06:00,2026-02-02 15:37:40.607000+06:00
buy,0.03,0.03,XAUUSD,4709.658,4709.455,4670.074,4744.164,-0.33,-0.6,user,2026-02-02 15:41:03.998000+06:00,2026-02-02 15:41:09.748000+06:00
buy,0.05,0.05,XAUUSD,4712.931,4704.099,4699.734,4748.688,-0.55,-44.16,user,2026-02-02 15:41:18.065000+06:00,2026-02-02 15:41:46.830000+06:00
buy,0.05,0.05,XAUUSD,4702.282,4694.073,4689.577,4738.531,-0.55,-41.04,so,2026-02-02 15:42:03.574000+06:00,2026-02-02 15:42:17.991000+06:00
buy,0.01,0.01,XAUUSD,4681.703,4672.049,4672.293,4748.76,-0.11,-9.65,sl,2026-02-02 16:30:31.522000+06:00,2026-02-02 16:36:45.805000+06:00
sell,0.05,0.05,XAUUSD,4673.556,4681.0,4688.222,4627.032,-0.55,-37.22,so,2026-02-02 16:38:16.875000+06:00,2026-02-02 16:38:52.953000+06:00
buy,0.02,0.02,XAUUSD,4780.015,4775.963,4774.468,4788.693,-0.22,-8.1,user,2026-02-02 18:27:27.027000+06:00,2026-02-02 18:28:41.687000+06:00
buy,0.01,0.01,XAUUSD,4776.725,4783.9490000000005,4772.45,4786.933,-0.11,7.22,user,2026-02-02 18:31:08.085000+06:00,2026-02-02 18:31:53.636000+06:00
sell,0.01,0.01,XAUUSD,4774.505,4779.505,4780.322,4763.687,-0.11,-5.0,user,2026-02-02 18:36:11.579000+06:00,2026-02-02 18:38:06.923000+06:00
sell,0.01,0.01,XAUUSD,4769.933,4753.033,4772.802,4737.221,-0.11,16.9,user,2026-02-02 19:17:05.452000+06:00,2026-02-02 19:19:02.565000+06:00
sell,0.01,0.01,XAUUSD,4739.682,4721.0650000000005,4761.993,4686.376,-0.11,18.61,user,2026-02-02 19:25:37.221000+06:00,2026-02-02 19:32:02.325000+06:00
buy,0.01,0.01,XAUUSD,4727.99,4721.744,4704.13,4781.46,-0.11,-6.25,user,2026-02-02 20:15:10.420000+06:00,2026-02-02 20:15:58.286000+06:00
sell,0.01,0.01,XAUUSD,4710.711,4694.722,4711.105,4661.358,-0.11,15.99,user,2026-02-02 20:19:17.253000+06:00,2026-02-02 20:22:00.521000+06:00
buy,0.01,0.01,XAUUSD,4744.868,4747.104,4730.919,4788.92,-0.11,2.23,user,2026-02-02 20:33:21.942000+06:00,2026-02-02 20:33:34.591000+06:00
sell,0.01,0.01,XAUUSD,4710.812,4710.262,4722.841,4667.66,-0.11,0.55,user,2026-02-02 21:11:53.828000+06:00,2026-02-02 21:12:55.830000+06:00
sell,0.01,0.01,XAUUSD,4696.745,4708.57,4713.897,4650.329,-0.11,-11.82,user,2026-02-02 21:14:02.615000+06:00,2026-02-02 21:14:24.189000+06:00
sell,0.01,0.01,XAUUSD,4718.042,4724.1,4731.833,4668.263,-0.11,-6.06,user,2026-02-02 21:16:46.485000+06:00,2026-02-02 21:16:59.375000+06:00
buy,0.01,0.01,XAUUSD,4724.668,4717.999,4717.999,4772.905,-0.11,-6.67,sl,2026-02-02 21:17:24.592000+06:00,2026-02-02 21:17:37.155000+06:00
sell,0.01,0.02,XAUUSD,4713.284,4706.112,4725.672,4667.974,,7.17,user,2026-02-02 21:17:48.683000+06:00,2026-02-02 21:18:14.137000+06:00
sell,0.01,0.02,XAUUSD,4713.284,4708.381,4725.672,4667.974,-0.22,4.9,user,2026-02-02 21:17:48.683000+06:00,2026-02-02 21:18:19.719000+06:00
sell,0.01,0.01,XAUUSD,4694.722,4699.502,4706.35,4648.65,-0.11,-4.78,user,2026-02-02 21:23:32.681000+06:00,2026-02-02 21:24:51.144000+06:00
buy,0.01,0.01,XAUUSD,4702.634,4705.777,4696.432,4744.67,-0.11,3.15,user,2026-02-02 21:25:09.319000+06:00,2026-02-02 21:25:33.172000+06:00
sell,0.01,0.01,XAUUSD,4688.371,4657.137,4685.791,4642.355,-0.11,31.23,user,2026-02-02 21:28:03.909000+06:00,2026-02-02 21:31:00.723000+06:00
sell,0.01,0.01,XAUUSD,4653.233,4659.900000000001,,,-0.11,-6.67,user,2026-02-02 21:49:07.387000+06:00,2026-02-02 21:49:22.074000+06:00
sell,0.01,0.01,XAUUSD,4652.59,4658.917,4663.472,,-0.11,-6.33,user,2026-02-02 21:50:24.467000+06:00,2026-02-02 21:51:00.637000+06:00
sell,0.01,0.01,XAUUSD,4615.271,4607.167,4640.8,,-0.11,8.1,user,2026-02-02 22:00:49.510000+06:00,2026-02-02 22:02:33.959000+06:00
buy,0.01,0.01,XAUUSD,4675.965,4683.044,4668.416,4708.882,-0.11,7.07,user,2026-02-02 22:10:48.472000+06:00,2026-02-02 22:11:01.946000+06:00
sell,0.01,0.01,XAUUSD,4661.121,4673.001,4673.001,4626.128,-0.11,-11.88,sl,2026-02-02 22:36:48.627000+06:00,2026-02-02 22:38:12.270000+06:00
buy,0.01,0.01,XAUUSD,4662.321,4663.892,4649.784,4683.286,-0.11,1.57,user,2026-02-02 22:48:57.290000+06:00,2026-02-02 22:54:01.633000+06:00
buy,0.01,0.01,XAUUSD,4697.687,4705.951,4688.108,4749.946,-0.11,8.26,user,2026-02-02 23:06:38.726000+06:00,2026-02-02 23:08:43.220000+06:00
sell,0.01,0.01,XAUUSD,4679.956,4678.393,,,-0.11,1.57,user,2026-02-02 23:22:04.946000+06:00,2026-02-02 23:22:21.213000+06:00
sell,0.01,0.01,XAUUSD,4669.6,4663.976000000001,,,-0.11,5.62,user,2026-02-02 23:37:10.174000+06:00,2026-02-02 23:37:27.348000+06:00
buy,0.01,0.01,XAUUSD,4679.735,4682.526,,,-0.11,2.79,user,2026-02-02 23:52:42.092000+06:00,2026-02-02 23:52:49.129000+06:00
sell,0.01,0.01,XAUUSD,4654.273,4670.788,4670.788,4574.564,-0.11,-16.52,sl,2026-02-03 00:05:58.247000+06:00,2026-02-03 00:10:55.738000+06:00
sell,0.01,0.01,XAUUSD,4649.74,4633.764,4653.058,4593.589,-0.11,15.98,user,2026-02-03 00:13:04.402000+06:00,2026-02-03 00:17:42.301000+06:00
sell,0.01,0.01,XAUUSD,4635.045,4638.457,4665.677,4569.457,-0.11,-3.41,user,2026-02-03 00:22:08.314000+06:00,2026-02-03 00:22:24.925000+06:00
sell,0.01,0.01,XAUUSD,4634.439,4631.649,4643.129,4577.209,-0.11,2.79,user,2026-02-03 00:25:41.103000+06:00,2026-02-03 00:26:06.766000+06:00
sell,0.01,0.01,XAUUSD,4632.57,4630.499,4640.424,4614.006,-0.11,2.07,user,2026-02-03 00:28:11.038000+06:00,2026-02-03 00:29:25.619000+06:00
sell,0.01,0.01,XAUUSD,4656.267,4652.162,,,-0.11,4.11,user,2026-02-03 00:45:09.308000+06:00,2026-02-03 00:45:45.678000+06:00
sell,0.01,0.01,XAUUSD,4661.06,4656.113,4671.975,4642.192,-0.11,4.95,user,2026-02-03 00:50:32.080000+06:00,2026-02-03 00:52:01.584000+06:00
sell,0.01,0.01,XAUUSD,4650.726,4643.796,4655.818,4616.524,-0.11,6.93,user,2026-02-03 01:00:30.059000+06:00,2026-02-03 01:02:00.469000+06:00
sell,0.01,0.01,XAUUSD,4645.173,4649.385,4660.827,,-0.11,-4.22,user,2026-02-03 01:07:03.518000+06:00,2026-02-03 01:07:20.341000+06:00
sell,0.01,0.01,XAUUSD,4646.935,4645.053000000001,4646.589,,-0.11,1.89,user,2026-02-03 01:09:22.497000+06:00,2026-02-03 01:10:02.925000+06:00
buy,0.01,0.01,XAUUSD,4657.758,4660.178,4652.71,,-0.11,2.42,user,2026-02-03 01:11:11.859000+06:00,2026-02-03 01:12:25.163000+06:00
sell,0.01,0.01,XAUUSD,4651.623,4645.409,4654.035,4636.734,-0.11,6.21,user,2026-02-03 01:14:16.246000+06:00,2026-02-03 01:15:42.566000+06:00
sell,0.01,0.01,XAUUSD,4648.629,4641.253,4648.397,4637.839,-0.11,7.38,user,2026-02-03 01:26:08.322000+06:00,2026-02-03 01:26:44.764000+06:00
sell,0.01,0.01,XAUUSD,4641.694,4644.5560000000005,,,-0.11,-2.87,user,2026-02-03 01:28:28.920000+06:00,2026-02-03 01:28:33.701000+06:00
