type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
buy,0.01,0.01,XAUUSD,4593.338,4587.973,4589.27,4617.6,-0.11,0,-5.37,sl,2026-01-12 20:25:47.472,2026-01-12 20:25:58.631
buy,0.01,0.01,XAUUSD,4590.828,4588.828,4563.776,,-0.11,0,-2.0,user,2026-01-12 20:28:28.764,2026-01-12 20:29:54.999
buy,0.01,0.01,XAUUSD,4596.269,4615.456,4593.893,,-0.11,0,19.19,user,2026-01-12 20:36:33.440,2026-01-12 21:07:50.573
buy,0.01,0.01,XAUUSD,4615.122,4621.607,4615.014,4622.53,-0.11,0,6.49,user,2026-01-12 21:23:02.062,2026-01-12 21:26:32.430
buy,0.01,0.01,XAUUSD,4619.89,4625.3060000000005,4620.139,4626.893,-0.11,0,5.42,user,2026-01-12 21:28:30.461,2026-01-12 21:37:02.855
buy,0.01,0.01,XAUUSD,4620.511,4618.372,4618.372,4629.734,-0.11,0,-2.14,sl,2026-01-12 21:46:49.252,2026-01-12 21:55:36.278
buy,0.01,0.02,XAUUSD,4622.073,4622.64,4620.686,4626.361,,0,0.57,user,2026-01-12 22:00:42.224,2026-01-12 22:01:16.948
buy,0.01,0.02,XAUUSD,4622.073,4620.686,4620.686,4626.361,-0.22,0,-1.38,sl,2026-01-12 22:00:42.224,2026-01-12 22:01:50.775
buy,0.01,0.01,XAUUSD,4623.457,4622.59,4622.59,4628.822,-0.11,0,-0.87,sl,2026-01-12 22:07:31.525,2026-01-12 22:12:22.765
buy,0.01,0.01,XAUUSD,4629.329,4627.539,4627.832,,-0.11,0,-1.79,sl,2026-01-12 22:16:19.220,2026-01-12 22:18:52.916
buy,0.01,0.01,XAUUSD,4629.405,4628.487,4622.652,,-0.11,0,-0.92,user,2026-01-12 22:20:43.480,2026-01-12 22:22:08.818
buy,0.01,0.01,XAUUSD,4624.439,4622.296,4622.65,,-0.11,0,-2.14,sl,2026-01-12 22:24:08.275,2026-01-12 22:24:41.990
buy,0.01,0.01,XAUUSD,4613.928,4612.841,4612.841,4619.12,-0.11,0,-1.09,sl,2026-01-13 01:15:14.729,2026-01-13 01:22:11.528
buy,0.01,0.01,XAUUSD,4597.347,4593.884,4594.43,,-0.11,0,-3.47,sl,2026-01-13 06:02:43.046,2026-01-13 06:04:36.764
buy,0.01,0.01,XAUUSD,4589.175,4589.902,,,-0.11,0,0.72,user,2026-01-13 06:53:20.004,2026-01-13 06:53:35.912
buy,0.01,0.01,XAUUSD,4584.073,4582.601,,,-0.11,0,-1.47,user,2026-01-13 07:02:44.152,2026-01-13 07:02:55.328
buy,0.01,0.01,XAUUSD,4595.279,4581.816,4581.816,,-0.11,0,-13.46,sl,2026-01-13 06:07:04.286,2026-01-13 07:04:38.041
buy,0.01,0.01,XAUUSD,4590.802,4594.467,4586.807,,-0.11,0,3.67,user,2026-01-13 07:09:26.401,2026-01-13 07:12:47.793
buy,0.01,0.01,XAUUSD,4586.098,4585.889,4585.889,4593.299,-0.11,0,-0.21,sl,2026-01-13 07:20:31.378,2026-01-13 07:26:24.681
buy,0.01,0.01,XAUUSD,4579.75,4581.174,4575.712,,-0.11,0,1.42,user,2026-01-13 07:36:26.411,2026-01-13 07:38:02.695
buy,0.01,0.01,XAUUSD,4585.018,4583.366,4583.366,,-0.11,0,-1.65,sl,2026-01-13 07:41:35.772,2026-01-13 07:42:04.493
buy,0.02,0.02,XAUUSD,4584.925,4582.693,4582.693,,-0.22,0,-4.46,sl,2026-01-13 07:43:19.311,2026-01-13 07:43:54.012
buy,0.01,0.01,XAUUSD,4584.685,4582.327,4582.806,4591.222,-0.11,0,-2.36,sl,2026-01-13 07:46:08.203,2026-01-13 07:46:53.565
sell,0.03,0.03,XAUUSD,4582.187,4581.049,4583.757,4579.487,-0.33,0,3.41,user,2026-01-13 07:51:53.913,2026-01-13 07:53:56.096
buy,0.03,0.03,XAUUSD,4585.832,4584.92,4584.92,4587.632,-0.33,0,-2.74,sl,2026-01-13 08:25:42.277,2026-01-13 08:26:41.308
buy,0.05,0.05,XAUUSD,4585.454,4584.666,4584.666,,-0.55,0,-3.94,sl,2026-01-13 08:27:21.834,2026-01-13 08:27:42.700
sell,0.05,0.05,XAUUSD,4585.46,4584.418,4585.905,4584.418,-0.55,0,5.21,tp,2026-01-13 08:28:18.396,2026-01-13 08:29:03.521
buy,0.01,0.01,XAUUSD,4585.264,4587.336,4584.942,,-0.11,0,2.08,user,2026-01-13 08:30:46.965,2026-01-13 08:43:15.215
buy,0.02,0.05,XAUUSD,4590.085,4590.705,4587.766,4655.352,,0,1.24,user,2026-01-13 08:45:04.637,2026-01-13 08:45:32.526
buy,0.01,0.05,XAUUSD,4590.085,4592.53,4587.766,4655.352,,0,2.44,user,2026-01-13 08:45:04.637,2026-01-13 08:46:12.069
buy,0.01,0.05,XAUUSD,4590.085,4593.0,4587.766,4655.352,,0,2.91,user,2026-01-13 08:45:04.637,2026-01-13 08:46:45.781
buy,0.01,0.05,XAUUSD,4590.085,4592.997,4587.766,4655.352,-0.55,0,2.91,user,2026-01-13 08:45:04.637,2026-01-13 08:57:34.311
buy,0.01,0.01,XAUUSD,4595.557,4597.052,4593.83,4599.382,-0.11,0,1.49,user,2026-01-13 09:06:29.164,2026-01-13 09:11:15.597
buy,0.01,0.01,XAUUSD,4585.494,4589.496,4583.66,4594.765,-0.11,0,4.01,user,2026-01-13 14:17:25.603,2026-01-13 14:21:11.330
buy,0.01,0.01,XAUUSD,4587.807,4587.028,4587.028,,-0.11,0,-0.78,sl,2026-01-13 14:22:38.572,2026-01-13 14:23:01.064
buy,0.01,0.01,XAUUSD,4587.831,4590.963,4587.889,4590.963,-0.11,0,3.13,tp,2026-01-13 14:24:04.907,2026-01-13 14:26:14.118
buy,0.01,0.01,USOIL,59.532,59.582,58.774,61.656,-0.13,0,0.5,user,2026-01-13 09:03:49.747,2026-01-13 14:33:43.383
buy,0.01,0.01,XAUUSD,4592.222,4589.311,4589.921,4597.705,-0.11,0,-2.91,sl,2026-01-13 15:18:36.838,2026-01-13 15:25:09.800
sell,0.01,0.01,XAUUSD,4589.358,4589.343,4590.35,4584.489,-0.11,0,0.02,user,2026-01-13 15:30:39.055,2026-01-13 15:32:26.799
sell,0.01,0.01,XAUUSD,4589.749,4588.992,4591.453,4584.772,-0.11,0,0.76,user,2026-01-13 15:28:04.939,2026-01-13 15:37:04.108
