ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1952075035,2026-01-20T14:18:00.007000,2026-01-20T14:18:21.230000,buy,0.05,0.05,XAUUSD,4742.286,4742.467000000001,4741.424,,-0.55,0,0.91,,,user
1952044971,2026-01-20T14:09:36.270000,2026-01-20T14:14:59.231000,buy,0.01,0.05,XAUUSD,4735.435,4740.616,4735.224,,,0,5.18,,,user
1952044971,2026-01-20T14:09:36.270000,2026-01-20T14:14:00.629000,buy,0.01,0.05,XAUUSD,4735.435,4739.07,4735.224,,,0,3.63,,,user
1952044971,2026-01-20T14:09:36.270000,2026-01-20T14:12:54.256000,buy,0.02,0.05,XAUUSD,4735.435,4740.64,4735.224,,,0,10.41,,,user
1952049705,2026-01-20T14:10:27.685000,2026-01-20T14:11:47.157000,buy,0.05,0.05,XAUUSD,4735.91,4738.617,4733.212,,-0.55,0,13.54,,,user
1952041719,2026-01-20T14:08:32.493000,2026-01-20T14:08:58.456000,buy,0.05,0.05,XAUUSD,4733.803,4734.718,4732.406,,-0.55,0,4.57,,,user
1951995281,2026-01-20T14:00:45.228000,2026-01-20T14:07:02.249000,buy,0.01,0.01,XAUUSD,4740.234,4733.52,4733.52,,-0.11,0,-6.71,,,sl
1952031844,2026-01-20T14:06:34.919000,2026-01-20T14:06:39.393000,buy,0.1,0.1,XAUUSD,4736.713,4735.322,4735.322,,-1.1,0,-13.91,,,sl
1952023625,2026-01-20T14:05:12.094000,2026-01-20T14:05:23.230000,buy,0.1,0.1,XAUUSD,4742.685,4739.837,4739.837,,-1.1,0,-28.48,,,sl
1951980113,2026-01-20T13:57:36.847000,2026-01-20T13:57:54.848000,buy,0.1,0.1,XAUUSD,4735.211,4735.844,4733.547,,-1.1,0,6.33,,,user
1951965811,2026-01-20T13:53:39.676000,2026-01-20T13:55:01.936000,buy,0.05,0.1,XAUUSD,4729.907,4732.416,4729.573,4733.433,-1.1,0,12.54,,,user
1951965811,2026-01-20T13:53:39.676000,2026-01-20T13:54:03.771000,buy,0.05,0.1,XAUUSD,4729.907,4730.353,4729.573,4733.433,,0,2.23,,,user
1951937882,2026-01-20T13:45:32.049000,2026-01-20T13:53:18.578000,buy,0.01,0.05,XAUUSD,4728.173,4727.858,4727.858,,-0.55,0,-0.31,,,sl
1951937882,2026-01-20T13:45:32.049000,2026-01-20T13:52:44.440000,buy,0.01,0.05,XAUUSD,4728.173,4731.96,4727.858,,,0,3.79,,,user
1951937882,2026-01-20T13:45:32.049000,2026-01-20T13:50:44.087000,buy,0.03,0.05,XAUUSD,4728.173,4732.078,4727.858,,,0,11.71,,,user
1951942965,2026-01-20T13:47:21.724000,2026-01-20T13:47:30.110000,buy,0.1,0.1,XAUUSD,4728.541,4729.951,4727.535,,-1.1,0,14.1,,,user
1951897650,2026-01-20T13:35:04.601000,2026-01-20T13:44:32.805000,buy,0.01,0.03,XAUUSD,4723.267,4729.607,,4729.607,-0.33,0,6.34,,,tp
1951928164,2026-01-20T13:42:55.707000,2026-01-20T13:43:43.637000,buy,0.12,0.12,XAUUSD,4726.813,4727.154,4725.556,4730.222,-1.32,0,4.09,,,user
1951917365,2026-01-20T13:40:14.327000,2026-01-20T13:40:20.683000,buy,0.1,0.1,XAUUSD,4722.03,4722.484,4720.076,4724.742,-1.1,0,4.54,,,user
