type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd,Images,Say,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,swap_usd,trade_pnl,capital
buy,0.01,0.02,XAUUSD,4388.489,4389.082,4386.904,4406.005,0.0,0.59,user,2026-01-05 06:41:37,2026-01-05 6:42:02,,,,,,,,,,0,0.59,83.06000000000002
buy,0.01,0.02,XAUUSD,4388.489,4388.172,4386.904,4406.005,-0.22,-0.32,user,2026-01-05 06:41:37,2026-01-05 6:43:56,,,,,,,,,,0,-0.54,82.52000000000001
buy,0.01,0.01,XAUUSD,4387.145,4386.349,4385.295,4393.818,-0.11,-0.8,user,2026-01-05 06:46:54,2026-01-05 6:47:34,,,,,,,,,,0,-0.91,81.61000000000001
buy,0.01,0.01,XAUUSD,4387.704,4391.602,4385.039,4391.602,-0.11,3.9,tp,2026-01-05 06:48:47,2026-01-05 6:49:43,,,,,,,,,,0,3.79,85.40000000000002
buy,0.01,0.01,XAUUSD,4390.957,4392.21,4389.46,4398.858,-0.11,1.25,user,2026-01-05 06:52:32,2026-01-05 6:56:40,,,,,,,,,,0,1.14,86.54000000000002
buy,0.01,0.01,XAUUSD,4399.481,4396.928,4396.928,4404.476,-0.11,-2.55,sl,2026-01-05 07:01:00,2026-01-05 7:01:53,,,,,,,,,,0,-2.6599999999999997,83.88000000000002
buy,0.01,0.01,XAUUSD,4408.23,4411.15,4396.928,4411.15,-0.11,2.92,tp,2026-01-05 07:03:31,2026-01-05 7:04:03,,,,,,,,,,0,2.81,86.69000000000001
buy,0.01,0.01,XAUUSD,4407.615,4411.346,4394.967,4411.346,-0.11,3.73,tp,2026-01-05 07:06:37,2026-01-05 7:07:35,,,,,,,,,,0,3.62,90.31000000000002
buy,0.01,0.01,XAUUSD,4409.703,4404.198,4401.778,4416.008,-0.11,-5.5,user,2026-01-05 07:10:09,2026-01-05 7:10:40,,,,,,,,,,0,-5.61,84.70000000000002
buy,0.01,0.02,XAUUSD,4404.102,4406.567,4396.941,4409.496,0.0,2.47,user,2026-01-05 07:11:23,2026-01-05 7:12:08,,,,,,,,,,0,2.47,87.17000000000002
buy,0.02,0.02,XAUUSD,4398.355,4400.445,4394.557,4402.488,-0.22,4.18,user,2026-01-05 07:13:12,2026-01-05 7:13:36,,,,,,,,,,0,3.9599999999999995,91.13000000000001
buy,0.01,0.02,XAUUSD,4404.102,4401.545,4396.941,4409.496,-0.22,-2.55,user,2026-01-05 07:11:23,2026-01-05 7:15:27,,,,,,,,,,0,-2.77,88.36000000000001
buy,0.02,0.02,XAUUSD,4401.98,4403.259,4396.847,4406.742,-0.22,2.56,user,2026-01-05 07:15:56,2026-01-05 7:16:17,,,,,,,,,,0,2.34,90.70000000000002
buy,0.02,0.02,XAUUSD,4402.907,4398.507,4396.659,4409.161,-0.22,-8.8,user,2026-01-05 07:16:29,2026-01-05 7:18:02,,,,,,,,,,0,-9.020000000000001,81.68
buy,0.02,0.02,XAUUSD,4400.281,4402.569,4396.753,4403.933,-0.22,4.58,user,2026-01-05 07:18:14,2026-01-05 7:18:53,,,,,,,,,,0,4.36,86.04000000000002
buy,0.02,0.02,XAUUSD,4403.942,4397.387,4397.975,4410.101,-0.22,-13.11,sl,2026-01-05 07:25:55,2026-01-05 7:27:07,,,,,,,,,,0,-13.33,72.71000000000001
buy,0.02,0.02,XAUUSD,4400.175,4395.482,4395.813,4414.519,-0.22,-9.39,sl,2026-01-05 07:26:54,2026-01-05 7:29:04,,,,,,,,,,0,-9.610000000000001,63.100000000000016
buy,0.05,0.05,XAUUSD,4398.793,4395.957,,,-0.55,-14.18,user,2026-01-05 07:30:15,2026-01-05 7:30:43,,,,,,,,,,0,-14.73,48.37000000000002
buy,0.03,0.05,XAUUSD,4394.308,4400.3,4387.452,4408.532,0.0,17.98,user,2026-01-05 07:32:02,2026-01-05 7:33:58,,,,,,,,,,0,17.98,66.35000000000002
buy,0.02,0.05,XAUUSD,4394.308,4398.158,4387.452,4408.532,-0.55,7.7,user,2026-01-05 07:32:02,2026-01-05 7:34:17,,,,,,,,,,0,7.15,73.50000000000003
buy,0.05,0.05,XAUUSD,4396.389,4397.769,4392.192,,-0.55,6.9,user,2026-01-05 07:35:19,2026-01-05 7:35:33,,,,,,,,,,0,6.3500000000000005,79.85000000000002
buy,0.01,0.01,XAUUSD,4398.798,4401.811,4393.295,4409.891,-0.11,3.01,user,2026-01-05 07:37:22,2026-01-05 7:38:53,,,,,,,,,,0,2.9,82.75000000000003
buy,0.05,0.05,XAUUSD,4404.731,4401.609,,,-0.55,-15.61,user,2026-01-05 07:40:02,2026-01-05 7:41:59,,,,,,,,,,0,-16.16,66.59000000000002
buy,0.05,0.05,XAUUSD,4399.235,4401.904,4389.273,,-0.55,13.34,user,2026-01-05 07:43:16,2026-01-05 7:44:29,,,,,,,,,,0,12.79,79.38000000000002
buy,0.03,0.05,XAUUSD,4401.575,4406.612,4401.89,,0.0,15.11,user,2026-01-05 07:42:08,2026-01-05 7:46:02,,,,,,,,,,0,15.11,94.49000000000001
buy,0.02,0.05,XAUUSD,4401.575,4401.89,4401.89,,-0.55,0.63,sl,2026-01-05 07:42:08,2026-01-05 7:47:09,,,,,,,,,,0,0.07999999999999996,94.57000000000002
buy,0.05,0.05,XAUUSD,4401.993,4403.284,4397.839,,-0.55,6.45,user,2026-01-05 07:47:37,2026-01-05 7:48:04,,,,,,,,,,0,5.9,100.47000000000001
buy,0.01,0.01,XAUUSD,4400.813,4401.438,4397.839,,-0.11,0.63,user,2026-01-05 07:49:37,2026-01-05 7:49:51,,,,,,,,,,0,0.52,100.99000000000002
buy,0.01,0.01,XAUUSD,4394.061,4395.364,4393.064,4398.432,-0.11,1.3,user,2026-01-05 07:51:04,2026-01-05 7:51:39,,,,,,,,,,0,1.19,102.18000000000002
buy,0.01,0.01,XAUUSD,4393.159,4395.348,4391.517,,-0.11,2.19,user,2026-01-05 07:52:39,2026-01-05 7:53:09,,,,,,,,,,0,2.08,104.26000000000002
buy,0.01,0.01,XAUUSD,4399.213,4398.208,4395.469,4411.274,-0.11,-1.0,user,2026-01-05 07:54:31,2026-01-05 7:55:13,,,,,,,,,,0,-1.11,103.15000000000002
buy,0.01,0.01,XAUUSD,4399.419,4397.589,4393.098,4411.373,-0.11,-1.83,user,2026-01-05 07:55:33,2026-01-05 7:56:08,,,,,,,,,,0,-1.9400000000000002,101.21000000000002
buy,0.01,0.02,XAUUSD,4399.838,4401.31,4398.531,4423.885,0.0,1.47,user,2026-01-05 07:57:02,2026-01-05 7:58:46,,,,,,,,,,0,1.47,102.68000000000002
buy,0.01,0.02,XAUUSD,4399.838,4398.531,4398.531,4423.885,-0.22,-1.31,sl,2026-01-05 07:57:02,2026-01-05 8:01:59,,,,,,,,,,0,-1.53,101.15000000000002
buy,0.01,0.02,XAUUSD,4397.338,4397.106,4391.221,,0.0,-0.23,user,2026-01-05 08:02:52,2026-01-05 8:03:08,,,,,,,,,,0,-0.23,100.92000000000002
buy,0.01,0.02,XAUUSD,4397.338,4398.459,4391.221,,-0.22,1.12,user,2026-01-05 08:02:52,2026-01-05 8:04:55,,,,,,,,,,0,0.9000000000000001,101.82000000000002
buy,0.01,0.01,XAUUSD,4399.263,4396.719,4395.765,,-0.11,-2.54,user,2026-01-05 08:05:12,2026-01-05 8:05:54,,,,,,,,,,0,-2.65,99.17000000000002
buy,0.01,0.01,XAUUSD,4393.37,4393.956,4392.505,,-0.11,0.59,user,2026-01-05 08:07:04,2026-01-05 8:07:30,,,,,,,,,,0,0.48,99.65000000000002
buy,0.01,0.01,XAUUSD,4390.315,4392.512,4388.638,,-0.11,2.19,user,2026-01-05 08:10:12,2026-01-05 8:10:26,,,,,,,,,,0,2.08,101.73000000000002
buy,0.01,0.01,XAUUSD,4393.879,4394.528,4392.03,,-0.11,0.65,user,2026-01-05 08:14:10,2026-01-05 8:14:21,,,,,,,,,,0,0.54,102.27000000000001
buy,0.01,0.01,XAUUSD,4393.557,4394.435,4392.605,,-0.11,0.88,user,2026-01-05 08:15:06,2026-01-05 8:15:13,,,,,,,,,,0,0.77,103.04000000000002
buy,0.01,0.01,XAUUSD,4396.147,4394.968,4394.968,,-0.11,-1.18,sl,2026-01-05 08:19:01,2026-01-05 8:19:39,,,,,,,,,,0,-1.29,101.75000000000001
buy,0.01,0.01,XAUUSD,4395.854,4395.196,4395.196,,-0.11,-0.65,sl,2026-01-05 08:20:40,2026-01-05 8:20:52,,,,,,,,,,0,-0.76,100.99000000000001
buy,0.01,0.01,XAUUSD,4395.628,4394.548,4394.548,,-0.11,-1.08,sl,2026-01-05 08:21:01,2026-01-05 8:21:31,,,,,,,,,,0,-1.1900000000000002,99.80000000000001
buy,0.01,0.01,XAUUSD,4395.49,4395.85,4394.247,,-0.11,0.36,user,2026-01-05 08:22:54,2026-01-05 8:23:08,,,,,,,,,,0,0.25,100.05000000000001
buy,0.01,0.01,XAUUSD,4395.207,4396.282,4394.544,4396.282,-0.11,1.07,tp,2026-01-05 08:24:02,2026-01-05 8:24:36,,,,,,,,,,0,0.9600000000000001,101.01000000000002
buy,0.01,0.01,XAUUSD,4403.714,4404.843,4400.766,4409.546,-0.11,1.13,user,2026-01-05 08:30:07,2026-01-05 8:31:13,,,,,,,,,,0,1.0199999999999998,102.03000000000002
buy,0.01,0.01,XAUUSD,4405.971,4404.84,4400.621,4419.478,-0.11,-1.13,user,2026-01-05 08:32:03,2026-01-05 8:33:06,,,,,,,,,,0,-1.24,100.79000000000002
buy,0.01,0.01,XAUUSD,4402.446,4402.781,4400.481,,-0.11,0.33,user,2026-01-05 08:34:33,2026-01-05 8:34:58,,,,,,,,,,0,0.22000000000000003,101.01000000000002
buy,0.01,0.01,XAUUSD,4403.92,4404.034,4400.041,,-0.11,0.11,user,2026-01-05 08:35:24,2026-01-05 8:35:27,,,,,,,,,,0,0.0,101.01000000000002
buy,0.01,0.01,XAUUSD,4403.148,4403.806,4401.714,,-0.11,0.66,user,2026-01-05 08:35:41,2026-01-05 8:35:46,,,,,,,,,,0,0.55,101.56000000000002
buy,0.01,0.01,XAUUSD,4403.818,4404.116,4401.714,,-0.11,0.3,user,2026-01-05 08:36:35,2026-01-05 8:36:43,,,,,,,,,,0,0.19,101.75000000000001
buy,0.01,0.01,XAUUSD,4403.94,4403.979,4401.925,,-0.11,0.04,user,2026-01-05 08:36:56,2026-01-05 8:37:02,,,,,,,,,,0,-0.07,101.68000000000002
buy,0.01,0.01,XAUUSD,4404.678,4404.124,4403.333,,-0.11,-0.56,user,2026-01-05 08:37:14,2026-01-05 8:37:36,,,,,,,,,,0,-0.67,101.01000000000002
buy,0.01,0.01,XAUUSD,4403.718,4403.505,4400.851,,-0.11,-0.21,user,2026-01-05 08:37:46,2026-01-05 8:38:02,,,,,,,,,,0,-0.32,100.69000000000001
buy,0.01,0.01,XAUUSD,4404.068,4403.24,,,-0.11,-0.83,user,2026-01-05 08:39:09,2026-01-05 8:39:20,,,,,,,,,,0,-0.94,99.75000000000001
buy,0.01,0.01,XAUUSD,4402.547,4404.467,4400.943,,-0.11,1.92,user,2026-01-05 08:39:50,2026-01-05 8:41:02,,,,,,,,,,0,1.8099999999999998,101.56000000000002
buy,0.01,0.01,XAUUSD,4403.99,4402.611,,,-0.11,-1.38,user,2026-01-05 08:41:56,2026-01-05 8:42:26,,,,,,,,,,0,-1.49,100.07000000000002
buy,0.01,0.01,XAUUSD,4403.781,4404.944,,,-0.11,1.16,user,2026-01-05 08:42:45,2026-01-05 8:43:04,,,,,,,,,,0,1.0499999999999998,101.12000000000002
buy,0.01,0.01,XAUUSD,4401.126,4401.863,4400.481,,-0.11,0.73,user,2026-01-05 08:44:08,2026-01-05 8:44:14,,,,,,,,,,0,0.62,101.74000000000001
buy,0.01,0.01,XAUUSD,4400.319,4400.593,4399.704,,-0.11,0.27,user,2026-01-05 08:45:45,2026-01-05 8:45:52,,,,,,,,,,0,0.16000000000000003,101.90000000000002
buy,0.01,0.01,XAUUSD,4403.722,4404.149,,,-0.11,0.43,user,2026-01-05 08:50:18,2026-01-05 8:50:25,,,,,,,,,,0,0.32,102.22000000000001
buy,0.01,0.01,XAUUSD,4403.165,4403.95,4402.54,,-0.11,0.78,user,2026-01-05 08:50:46,2026-01-05 8:51:04,,,,,,,,,,0,0.67,102.89000000000001
buy,0.01,0.01,XAUUSD,4407.013,4407.872,4405.764,,-0.11,0.86,user,2026-01-05 08:52:36,2026-01-05 8:52:52,,,,,,,,,,0,0.75,103.64000000000001
buy,0.01,0.01,XAUUSD,4406.843,4405.82,4405.82,,-0.11,-1.02,sl,2026-01-05 08:57:11,2026-01-05 8:58:24,,,,,,,,,,0,-1.1300000000000001,102.51000000000002
buy,0.01,0.01,XAUUSD,4407.796,4406.328,4405.598,4422.288,-0.11,-1.47,user,2026-01-05 08:53:21,2026-01-05 8:58:33,,,,,,,,,,0,-1.58,100.93000000000002
buy,0.01,0.01,XAUUSD,4405.7,4409.209,4402.764,4409.209,-0.11,3.51,tp,2026-01-05 09:00:05,2026-01-05 9:02:16,,,,,,,,,,0,3.4,104.33000000000001
buy,0.01,0.01,XAUUSD,4411.153,4411.596,4410.154,,-0.11,0.45,user,2026-01-05 09:04:36,2026-01-05 9:04:55,,,,,,,,,,0,0.34,104.67000000000002
buy,0.01,0.01,XAUUSD,4410.917,4410.179,4410.179,,-0.11,-0.74,sl,2026-01-05 09:08:57,2026-01-05 9:09:02,,,,,,,,,,0,-0.85,103.82000000000002
buy,0.01,0.01,XAUUSD,4409.401,4406.582,4406.582,4416.9,-0.11,-2.82,sl,2026-01-05 09:23:24,2026-01-05 9:27:33,,,,,,,,,,0,-2.9299999999999997,100.89000000000001
buy,0.01,0.01,XAUUSD,4407.54,4406.174,4406.469,,-0.11,-1.37,sl,2026-01-05 09:27:16,2026-01-05 9:27:38,,,,,,,,,,0,-1.4800000000000002,99.41000000000001
buy,0.01,0.01,XAUUSD,4406.681,4407.417,4406.145,,-0.11,0.74,user,2026-01-05 09:29:05,2026-01-05 9:29:26,,,,,,,,,,0,0.63,100.04000000000002
buy,0.01,0.01,XAUUSD,4405.56,4403.981,4404.4,,-0.11,-1.58,sl,2026-01-05 09:31:32,2026-01-05 9:31:59,,,,,,,,,,0,-1.6900000000000002,98.35000000000001
buy,0.01,0.01,XAUUSD,4404.407,4405.682,4402.806,4405.839,-0.11,1.27,user,2026-01-05 09:33:04,2026-01-05 9:34:13,,,,,,,,,,0,1.16,99.51000000000002
buy,0.01,0.01,XAUUSD,4404.076,4405.787,4403.679,4405.787,-0.11,1.71,tp,2026-01-05 09:35:38,2026-01-05 9:36:42,,,,,,,,,,0,1.5999999999999999,101.11000000000001
buy,0.01,0.01,XAUUSD,4408.884,4407.882,4407.882,4422.307,-0.11,-1.0,sl,2026-01-05 09:41:06,2026-01-05 9:48:20,,,,,,,,,,0,-1.11,100.00000000000001
buy,0.01,0.01,XAUUSD,4405.02,4403.854,4403.854,,-0.11,-1.17,sl,2026-01-05 09:57:07,2026-01-05 9:57:18,,,,,,,,,,0,-1.28,98.72000000000001
buy,0.01,0.01,XAUUSD,4404.222,4403.661,4403.661,,-0.11,-0.56,sl,2026-01-05 09:58:17,2026-01-05 9:58:29,,,,,,,,,,0,-0.67,98.05000000000001
buy,0.01,0.01,XAUUSD,4402.64,4402.233,4402.233,,-0.11,-0.41,sl,2026-01-05 09:59:19,2026-01-05 9:59:29,,,,,,,,,,0,-0.52,97.53000000000002
sell,0.01,0.01,XAUUSD,4399.223,4400.766,4400.516,,-0.11,-1.55,sl,2026-01-05 10:00:55,2026-01-05 10:01:01,,,,,,,,,,0,-1.6600000000000001,95.87000000000002
sell,0.01,0.01,XAUUSD,4400.867,4402.366,4402.21,4396.404,-0.11,-1.5,sl,2026-01-05 10:02:08,2026-01-05 10:04:49,,,,,,,,,,0,-1.61,94.26000000000002
sell,0.01,0.02,XAUUSD,4403.263,4402.673,4404.712,,0.0,0.59,user,2026-01-05 10:07:31,2026-01-05 10:08:05,,,,,,,,,,0,0.59,94.85000000000001
sell,0.01,0.02,XAUUSD,4403.263,4403.113,4404.712,,-0.22,0.15,user,2026-01-05 10:07:31,2026-01-05 10:08:47,,,,,,,,,,0,-0.07,94.78000000000002
sell,0.01,0.02,XAUUSD,4402.416,4401.948,4403.581,4398.291,0.0,0.47,user,2026-01-05 10:09:08,2026-01-05 10:09:31,,,,,,,,,,0,0.47,95.25000000000001
sell,0.01,0.02,XAUUSD,4402.416,4400.926,4403.581,4398.291,-0.22,1.49,user,2026-01-05 10:09:08,2026-01-05 10:12:07,,,,,,,,,,0,1.27,96.52000000000001
sell,0.01,0.01,XAUUSD,4400.0,4399.294,4400.941,,-0.11,0.71,user,2026-01-05 10:13:22,2026-01-05 10:14:03,,,,,,,,,,0,0.6,97.12000000000002
sell,0.01,0.01,XAUUSD,4404.787,4405.141,4406.105,4403.168,-0.11,-0.35,user,2026-01-05 10:25:20,2026-01-05 10:28:14,,,,,,,,,,0,-0.45999999999999996,96.66000000000001
sell,0.01,0.01,XAUUSD,4404.71,4406.621,4406.621,4402.295,-0.11,-1.91,sl,2026-01-05 10:30:08,2026-01-05 10:36:40,,,,,,,,,,0,-2.02,94.64000000000001
buy,0.01,0.01,XAUUSD,4405.415,4405.763,4404.557,4406.502,-0.11,0.34,user,2026-01-05 10:37:21,2026-01-05 10:38:16,,,,,,,,,,0,0.23000000000000004,94.87000000000002
buy,0.01,0.01,XAUUSD,4405.23,4404.237,4404.438,,-0.11,-0.99,sl,2026-01-05 10:39:04,2026-01-05 10:39:32,,,,,,,,,,0,-1.1,93.77000000000001
buy,0.01,0.02,XAUUSD,4406.31,4406.637,4405.589,4407.415,0.0,0.33,user,2026-01-05 10:47:43,2026-01-05 10:48:29,,,,,,,,,,0,0.33,94.10000000000001
buy,0.01,0.02,XAUUSD,4406.31,4407.415,4405.589,4407.415,-0.22,1.11,tp,2026-01-05 10:47:43,2026-01-05 10:50:07,,,,,,,,,,0,0.8900000000000001,94.99000000000001
buy,0.01,0.01,XAUUSD,4403.756,4404.177,4402.873,,-0.11,0.42,user,2026-01-05 10:55:18,2026-01-05 10:55:33,,,,,,,,,,0,0.31,95.30000000000001
buy,0.01,0.01,XAUUSD,4403.843,4404.227,4403.168,,-0.11,0.39,user,2026-01-05 10:56:28,2026-01-05 10:56:37,,,,,,,,,,0,0.28,95.58000000000001
buy,0.01,0.02,XAUUSD,4404.361,4404.535,4403.415,4405.589,0.0,0.18,user,2026-01-05 10:52:50,2026-01-05 10:57:28,,,,,,,,,,0,0.18,95.76000000000002
buy,0.01,0.02,XAUUSD,4404.361,4405.589,4403.415,4405.589,-0.22,1.23,tp,2026-01-05 10:52:50,2026-01-05 10:58:56,,,,,,,,,,0,1.01,96.77000000000001
buy,0.01,0.01,XAUUSD,4404.515,4405.708,4403.525,4405.708,-0.11,1.19,tp,2026-01-05 10:59:29,2026-01-05 11:02:14,,,,,,,,,,0,1.0799999999999998,97.85000000000001
buy,0.01,0.01,XAUUSD,4421.79,4421.77,4420.621,4423.581,-0.11,-0.02,user,2026-01-05 13:57:19,2026-01-05 13:59:02,,,,,,,,,,0,-0.13,97.72000000000001
buy,0.01,0.01,XAUUSD,4428.498,4429.503,4425.91,4431.587,-0.11,1.0,user,2026-01-05 14:25:03,2026-01-05 14:28:18,,,,,,,,,,0,0.89,98.61000000000001
buy,0.01,0.01,XAUUSD,4427.403,4429.958,4426.357,4429.958,-0.11,2.56,tp,2026-01-05 14:40:57,2026-01-05 14:43:41,,,,,,,,,,0,2.45,101.06000000000002
buy,0.01,0.01,XAUUSD,4431.56,4431.819,4430.325,4432.898,-0.11,0.26,user,2026-01-05 14:56:07,2026-01-05 14:58:01,,,,,,,,,,0,0.15000000000000002,101.21000000000001
buy,0.01,0.01,XAUUSD,4429.922,4430.276,4429.478,4433.519,-0.11,0.36,user,2026-01-05 15:03:13,2026-01-05 15:03:21,,,,,,,,,,0,0.25,101.46000000000001
buy,0.01,0.01,XAUUSD,4427.367,4426.943,4426.399,4430.842,-0.11,-0.43,user,2026-01-05 15:09:55,2026-01-05 15:10:32,,,,,,,,,,0,-0.54,100.92000000000002
buy,0.01,0.01,XAUUSD,4426.916,4426.092,4426.427,4428.34,-0.11,-0.83,sl,2026-01-05 15:11:29,2026-01-05 15:12:17,,,,,,,,,,0,-0.94,99.98000000000002
buy,0.01,0.01,XAUUSD,4427.182,4429.512,4426.071,4430.69,-0.11,2.33,user,2026-01-05 15:12:49,2026-01-05 15:13:10,,,,,,,,,,0,2.22,102.20000000000002
buy,0.01,0.01,XAUUSD,4429.462,4429.825,4428.577,4433.124,-0.11,0.37,user,2026-01-05 15:14:01,2026-01-05 15:14:07,,,,,,,,,,0,0.26,102.46000000000001
buy,0.01,0.01,XAUUSD,4430.049,4433.349,4431.057,4435.555,-0.11,3.3,user,2026-01-05 15:15:13,2026-01-05 15:22:55,,,,,,,,,,0,3.19,105.65000000000002
